,Company Location,Educational Level,Experience Requirements,Work Environment,Work Type,Industry,Company Type,Median Salary
47,"Edmonton, AB",Not required,2,,Full-time,Food and Beverage Services,large,
48,"North York, ON",Not required,0,Hybrid,Full-time,Consumer Services,Medium,59500.0
49,"Vancouver, BC",Not required,2,Remote,Full-time,Software Development,Small,
50,"Vancouver, BC",Undergraduate degree,0,,Full-time,"Technology, Information and Internet",Small,
51,"Toronto, ON",Post-secondary degree,0,On-site,Full-time,Financial Services,large,66250.0
52,"Montreal, QC",Not required,3,On-site,Contract,Staffing and Recruiting,Medium,
53,"Toronto, ON",Undergraduate degree,3,On-site,Temporary,Tobacco Manufacturing,large,
54,"Toronto, ON",Undergraduate degree,5,Hybrid,Full-time,Entertainment Providers,large,
55,"Greater Sudbury, ON",Post-secondary degree,0,On-site,Full-time,Financial Services,large,
56,"Toronto, ON",Not required,5,Remote,Full-time,Software Development,Medium,
57,"Toronto, ON",Undergraduate degree,4,,Full-time,Financial Services,large,
58,"Mississauga, ON",Undergraduate degree,1,Hybrid,Full-time,Financial Services,Small,
59,"Vancouver, BC",Not required,4,Remote,Full-time,Software Development,large,119000.0
60,"Toronto, ON",Not required,5,Remote,Full-time,IT Services and IT Consulting,large,
61,"Vancouver, BC",Undergraduate degree,5,Hybrid,Full-time,IT Services and IT Consulting,Small,
62,"Vancouver, BC",Undergraduate degree,0,Hybrid,Internship,Hospitals and Health Care,large,17500.0
63,"Vancouver, BC",Undergraduate degree,2,Hybrid,Full-time,Financial Services,Medium,85000.0
64,"Toronto, ON",Not required,4,Hybrid,Contract,IT Services and IT Consulting,large,
65,"Halifax, NS",Undergraduate degree,2,Hybrid,Full-time,IT Services and IT Consulting,large,
66,"Calgary, AB",Undergraduate degree,3,Hybrid,Full-time,Hospitals and Health Care,Medium,63500.0
67,"London, ON",Master degree,2,Hybrid,Contract,Manufacturing,Medium,
68,,Not required,1,Remote,Full-time,Software Development,large,
69,"Ottawa, ON",Undergraduate degree,5,Hybrid,Full-time,Software Development,Small,
70,"Burnaby, BC",Post-secondary degree,3,On-site,Full-time,Oil and Gas,large,
71,"Calgary, AB",Undergraduate degree,3,On-site,Full-time,Oil and Gas,Medium,
72,"Vancouver, BC",Post-secondary degree,3,On-site,Full-time,Metal Ore Mining,Medium,93000.0
73,"Montreal, QC",Not required,3,On-site,Full-time,IT Services and IT Consulting,large,
74,"Toronto, ON",Undergraduate degree,3,Hybrid,Full-time,Spectator Sports,Medium,
75,"North York, ON",Not required,2,Remote,Full-time,Staffing and Recruiting,Small,
76,"Toronto, ON",Post-secondary degree,3,Remote,Contract,Hospitals and Health Care,Medium,
77,"Dieppe, NB",Post-secondary degree,1,On-site,Internship,Manufacturing,large,
78,"Toronto, ON",Not required,3,On-site,Full-time,IT Services and IT Consulting,large,
79,"Toronto, ON",Post-secondary degree,3,Hybrid,Full-time,Accounting,Medium,
80,"Toronto, ON",Undergraduate degree,4,Hybrid,Full-time,Software Development,large,
81,"Montreal, QC",Not required,4,On-site,Full-time,IT Services and IT Consulting,Small,
82,"Vancouver, BC",Undergraduate degree,5,Remote,Full-time,Financial Services,Small,
83,"Burnaby, BC",Undergraduate degree,3,Hybrid,Contract,Staffing and Recruiting,large,83000.0
84,"Surrey, BC",Undergraduate degree,3,On-site,Full-time,Public Safety,Medium,105814.0
85,"Calgary, AB",Master degree,0,On-site,Temporary,Higher Education,large,
86,"Toronto, ON",Not required,4,Hybrid,Full-time,Software Development,Small,95000.0
87,"Vancouver, BC",Master degree,8,Remote,Full-time,,Medium,244000.0
88,,Master degree,6,Remote,Full-time,"Technology, Information and Internet",large,151400.0
89,"Toronto, ON",Not required,2,Hybrid,Internship,Financial Services,Medium,
90,"Edmonton, AB",Undergraduate degree,7,On-site,Full-time,Utilities,large,
91,"Dorval, QC",Master degree,5,On-site,Full-time,Aviation and Aerospace Component Manufacturing,large,
92,,Undergraduate degree,5,Remote,Full-time,IT Services and IT Consulting,large,183000.0
93,"Vancouver, BC",Undergraduate degree,0,,Temporary,Software Development,large,
94,"Mississauga, ON",Not required,5,Hybrid,Full-time,Consumer Services,large,
95,"Toronto, ON",Undergraduate degree,3,Hybrid,Contract,Staffing and Recruiting,Small,96800.0
96,"Montreal, QC",Not required,2,Hybrid,Full-time,Banking,large,
97,"Toronto, ON",Undergraduate degree,3,On-site,Temporary,Financial Services,large,
98,"Mississauga, ON",Undergraduate degree,1,On-site,Internship,Manufacturing,large,17500.0
99,"Vancouver, BC",Undergraduate degree,3,On-site,Full-time,Hospitals and Health Care,Medium,70018.5
100,"Kamloops, BC",Undergraduate degree,2,Remote,Full-time,Construction,Medium,71500.0
101,"Burlington, ON",Not required,7,Hybrid,Contract,IT Services and IT Consulting,Small,
102,"Vaughan, ON",Undergraduate degree,2,Remote,Full-time,Financial Services,Small,45000.0
103,"Saskatoon, SK",Not required,1,On-site,Full-time,Manufacturing,Small,61996.0
104,"Montreal, QC",Undergraduate degree,1,On-site,Full-time,Staffing and Recruiting,Small,80000.0
105,"Vancouver, BC",Post-secondary degree,2,On-site,Full-time,Manufacturing,Medium,69500.0
106,"Vancouver, BC",Not required,5,Remote,Full-time,Freight and Package Transportation,Medium,83500.0
107,"Parksville, BC",Undergraduate degree,1,On-site,Full-time,,Small,78956.5
108,"Calgary, AB",Not required,3,,Contract,Staffing and Recruiting,large,
109,"Saskatoon, SK",Not required,1,On-site,Full-time,,large,50024.0
